Current (A),Battery Voltage (V),Accel X (m_s2),Accel Y (m_s2),Accel Z (m_s2),Gyro H (deg),Gyro R (deg),Gyro P (deg),Latitude,Longitude,GPS Status
8.24,19.48,-0.62,-0.11,9.62,0.56,-3.81,-0.81,20.7369,0.0,X
8.14,19.56,-0.59,-0.12,9.59,0.56,-3.81,-0.81,20.7369,0.0,X
8.26,19.31,-0.6,-0.14,9.57,0.56,-3.81,-0.81,20.7369,0.0,X
8.26,19.46,-0.62,-0.13,9.57,0.56,-3.81,-0.81,20.7369,0.0,X
8.17,19.6,-0.6,-0.12,9.56,0.56,-3.81,-0.81,20.7369,0.0,X
8.23,19.28,-0.59,-0.12,9.57,0.56,-3.81,-0.81,20.7369,0.0,X
8.24,19.45,-0.6,-0.13,9.58,0.56,-3.81,-0.81,20.7369,0.0,X
8.26,19.44,-0.6,-0.13,9.6,0.56,-3.81,-0.81,20.7369,0.0,X
8.23,19.31,-0.61,-0.13,9.59,0.56,-11.81,-0.81,20.7369,0.0,X
8.26,19.42,-0.6,-0.13,9.58,0.56,-3.81,-0.81,20.7369,0.0,X
8.22,19.53,-0.59,-0.13,9.6,0.56,-3.81,-0.81,20.737,-103.4546,A
8.26,19.28,-0.58,-0.13,9.57,0.56,-3.81,-0.81,20.737,-103.4546,A
8.26,19.45,-0.61,-0.12,9.56,0.56,-11.81,-0.81,20.737,-103.4546,A
8.26,19.5,-0.58,-0.11,9.57,0.56,-11.81,-0.81,20.737,-103.4546,A
8.3,19.34,-0.62,-0.11,9.58,0.56,-3.81,-0.81,20.737,-103.4546,A
8.25,19.44,-0.6,-0.13,9.6,0.56,-3.81,-0.81,20.737,-103.4546,A
8.19,19.53,-0.6,-0.12,9.57,0.56,-3.81,-0.81,20.737,-103.4546,A
8.3,19.34,-0.59,-0.14,9.57,0.56,-11.81,-0.81,20.737,-103.4546,A
8.21,19.46,-0.6,-0.13,9.58,0.56,-3.81,-0.81,20.737,-103.4546,A
8.24,19.49,-0.59,-0.14,9.57,0.56,-3.81,-0.81,20.737,-103.4546,A
8.3,19.33,-0.62,-0.12,9.59,0.56,-3.81,-0.81,20.737,-103.4546,A
8.25,19.46,-0.6,-0.12,9.56,0.56,-3.81,-0.81,20.737,-103.4546,A
8.22,19.46,-0.6,-0.13,9.6,0.56,-3.81,-0.81,20.737,-103.4546,A
8.25,19.27,-0.6,-0.12,9.6,0.56,-3.81,-0.81,20.737,-103.4546,A
8.3,19.42,-0.6,-0.12,9.58,0.56,-11.81,-0.81,20.737,-103.4546,A
8.22,19.46,-0.62,-0.12,9.57,0.56,-11.81,-0.81,20.737,-103.4546,X
8.25,19.33,-0.59,-0.13,9.57,0.56,-3.81,-0.81,20.737,-103.4546,X
8.3,19.41,-0.58,-0.14,9.56,0.56,-3.81,-0.81,20.7369,103.4533,A
8.22,19.52,-0.6,-0.14,9.57,0.56,-11.81,-0.81,20.7369,103.4533,A
8.27,19.28,-0.61,-0.16,9.53,0.56,-3.81,-0.81,20.7369,103.4533,A
8.3,19.46,-0.61,-0.12,9.56,0.56,-3.81,-0.81,20.7369,103.4533,A
8.25,19.53,-0.59,-0.15,9.59,0.56,-3.81,-0.81,20.7369,103.4533,A
8.29,19.3,-0.62,-0.14,9.57,0.56,-3.81,-0.81,20.7369,103.4533,A
8.2,19.42,-0.6,-0.14,9.58,0.56,-11.81,-0.81,20.7369,103.4533,A
8.24,19.5,-0.6,-0.12,9.61,0.56,-3.81,-0.81,20.7369,103.4533,A
8.26,19.37,-0.61,-0.12,9.59,0.56,-11.81,-0.81,20.7369,103.4533,A
8.28,19.42,-0.61,-0.13,9.59,0.56,-3.81,-0.81,20.7369,103.4533,A
8.26,19.53,-0.61,-0.12,9.58,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.28,19.34,-0.61,-0.12,9.55,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.26,19.44,-0.59,-0.14,9.57,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.22,19.49,-0.61,-0.13,9.6,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.31,19.33,-0.63,-0.11,9.56,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.3,19.46,-0.6,-0.12,9.56,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.24,19.49,-0.62,-0.11,9.59,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.3,19.34,-0.63,-0.11,9.59,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.25,19.41,-0.61,-0.14,9.56,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.24,19.52,-0.58,-0.15,9.56,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.27,19.33,-0.59,-0.14,9.56,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.29,19.46,-0.58,-0.14,9.59,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.27,19.52,-0.63,-0.13,9.59,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.27,19.3,-0.63,-0.12,9.58,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.3,19.44,-0.6,-0.14,9.58,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.25,19.52,-0.61,-0.14,9.57,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.28,19.27,-0.61,-0.12,9.54,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.28,19.44,-0.6,-0.13,9.6,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.26,19.49,-0.61,-0.14,9.61,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.32,19.35,-0.62,-0.12,9.57,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.26,19.38,-0.63,-0.12,9.57,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.27,19.52,-0.57,-0.13,9.52,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.3,19.31,-0.62,-0.15,9.56,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.28,19.44,-0.63,-0.12,9.54,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.2,19.54,-0.63,-0.14,9.56,0.56,-3.81,-0.81,20.7369,-103.4547,A
8.3,19.28,-0.61,-0.13,9.57,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.29,19.49,-0.61,-0.12,9.57,0.56,-11.81,-0.81,20.7369,-103.4547,A
8.21,19.46,-0.59,-0.12,9.59,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.3,-0.58,-0.11,9.58,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.46,-0.61,-0.13,9.56,0.56,-11.81,-0.81,20.7368,-103.4547,A
8.23,19.5,-0.6,-0.14,9.54,0.56,-11.81,-0.81,20.7368,-103.4547,A
8.27,19.35,-0.62,-0.13,9.59,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.26,19.46,-0.61,-0.13,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.25,19.52,-0.61,-0.12,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.27,19.3,-0.6,-0.11,9.59,0.56,-11.81,-0.81,20.7368,-103.4547,A
8.29,19.41,-0.6,-0.13,9.59,0.56,-11.81,-0.81,20.7368,-103.4547,A
8.27,19.52,-0.62,-0.13,9.56,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.27,19.28,-0.62,-0.11,9.55,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.28,19.42,-0.6,-0.13,9.58,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.25,19.53,-0.63,-0.12,9.58,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.35,-0.57,-0.12,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.22,19.45,-0.58,-0.13,9.56,0.56,-11.81,-0.81,20.7368,-103.4547,A
8.24,19.48,-0.62,-0.12,9.59,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.31,-0.66,-0.12,9.55,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.21,19.42,-0.67,-0.12,9.57,0.56,-3.81,-0.81,0.0333,0.3,A
8.18,19.5,-0.57,-0.14,9.56,0.56,-11.81,-0.81,0.0333,0.0,A
8.23,19.33,-0.6,-0.14,9.56,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.49,-0.61,-0.14,9.59,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.22,19.5,-0.58,-0.13,9.54,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.28,19.34,-0.61,-0.09,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.3,19.45,-0.64,-0.12,9.56,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.24,19.48,-0.58,-0.13,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.28,19.27,-0.59,-0.13,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.29,19.48,-0.64,-0.13,9.55,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.21,19.56,-0.62,-0.12,9.56,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.27,19.35,-0.6,-0.13,9.57,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.26,19.45,-0.59,-0.15,9.54,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.26,19.52,-0.63,-0.11,9.58,0.56,-3.81,-0.81,20.7368,-103.4547,A
8.22,19.35,-0.62,-0.15,9.59,0.56,-11.81,-0.81,20.7368,103.4547,A
8.27,19.39,-0.61,-0.14,9.56,0.56,-3.81,-0.81,20.7368,103.4547,A
8.26,19.5,-0.62,-0.14,9.56,0.56,-3.81,-0.81,20.7368,103.4547,A
8.27,19.33,-0.62,-0.14,9.59,0.56,-3.81,-0.81,20.7368,103.4547,A
8.27,19.42,-0.6,-0.11,9.58,0.56,-3.81,-0.81,20.7368,103.4547,A
8.24,19.57,-0.6,-0.13,9.61,0.56,-3.81,-0.81,20.7368,-103.4548,A
8.3,19.31,-0.61,-0.12,9.56,0.56,-3.81,-0.81,20.7368,-103.4548,A
8.25,19.39,-0.61,-0.12,9.57,0.56,-3.81,-0.81,20.7368,-103.4548,A
8.17,19.49,-0.61,-0.12,9.59,0.56,-3.81,-0.81,20.7368,-103.4548,A
8.27,19.33,-0.6,-0.12,9.57,0.56,-3.81,-0.81,20.7368,-3.4548,A
8.26,19.46,-0.6,-0.12,9.6,0.56,-3.81,-0.81,20.7368,-3.4548,A
8.21,19.49,-0.61,-0.12,9.57,0.56,-11.81,-0.81,20.7368,-3.4548,A
8.28,19.28,-0.61,-0.12,9.57,0.56,-11.81,-0.81,20.7368,-3.4548,A
8.3,19.49,-0.62,-0.15,9.56,0.56,-3.81,-0.81,20.7368,-3.4548,A
8.21,19.5,-0.61,-0.14,9.57,0.56,-11.81,-0.81,20.7381,-103.4548,A
8.19,19.28,-0.63,-0.14,9.61,0.56,-3.81,-0.81,20.7381,-103.4548,A
8.27,19.44,-0.59,-0.13,9.57,0.56,-3.81,-0.81,20.7381,-103.4548,A
8.24,19.54,-0.62,-0.14,9.57,0.56,-3.81,-0.81,20.7381,-103.4548,A
8.27,19.41,-0.6,-0.13,9.57,0.0,-3.62,-0.75,20.7369,-1.0167,A
8.27,19.52,-0.6,-0.14,9.57,0.0,-11.62,-0.75,20.7369,-1.0167,A
8.31,19.34,-0.6,-0.12,9.56,0.0,-11.62,-0.75,20.7369,-1.0167,A
8.24,19.42,-0.61,-0.13,9.56,0.0,-3.62,-0.75,20.7369,-1.0167,A
8.25,19.52,-0.57,-0.1,9.6,0.0,-11.62,-0.75,20.7369,-1.0167,A
8.29,19.34,-0.6,-0.12,9.58,0.0,-11.62,-0.75,20.7369,-1.0167,A
8.27,19.44,-0.62,-0.14,9.58,0.0,-3.62,-0.75,20.7369,-1.0167,A
8.22,19.53,-0.64,-0.13,9.57,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.25,19.33,-0.61,-0.13,9.59,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.28,19.5,-0.59,-0.14,9.6,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.18,19.5,-0.62,-0.13,9.56,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.27,19.33,-0.58,-0.15,9.57,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.24,19.44,-0.59,-0.12,9.58,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.21,19.5,-0.59,-0.15,9.56,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.26,19.31,-0.61,-0.14,9.57,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.25,19.46,-0.59,-0.12,9.57,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.24,19.54,-0.59,-0.13,9.56,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.26,19.28,-0.6,-0.11,9.59,0.0,-3.62,-0.75,20.7368,-3.4546,A
8.3,19.46,-0.61,-0.14,9.58,0.0,-11.62,-0.75,20.7368,-3.4546,A
8.24,19.52,-0.6,-0.11,9.55,0.0,-3.62,-0.75,20.7368,-3.4546,A
8.2,19.33,-0.61,-0.13,9.59,0.0,-3.62,-0.75,20.7368,-3.4546,A
8.26,19.44,-0.61,-0.15,9.59,0.0,-3.62,-0.75,20.7368,-103.4546,A
8.22,19.56,-0.57,-0.13,9.57,0.0,-3.62,-0.75,20.7368,-103.4546,A
8.3,19.35,-0.6,-0.13,9.57,0.0,-11.62,-0.75,20.7368,-103.4546,A
8.26,19.44,-0.63,-0.13,9.58,0.0,-3.62,-0.75,20.7368,-103.4546,A
8.21,19.53,-0.61,-0.13,9.57,0.0,-3.62,-0.75,20.7368,-103.4546,A
8.3,19.3,-0.58,-0.13,9.56,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.17,19.44,-0.61,-0.13,9.58,0.0,-11.62,-0.75,20.7368,-103.4545,A
8.22,19.48,-0.61,-0.12,9.59,0.0,-11.62,-0.75,20.7368,-103.4545,A
8.25,19.34,-0.61,-0.14,9.58,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.28,19.48,-0.6,-0.14,9.54,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.22,19.46,-0.62,-0.14,9.57,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.27,19.31,-0.62,-0.14,9.57,0.0,-11.62,-0.75,20.7368,-103.4545,A
8.28,19.44,-0.61,-0.12,9.56,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.23,19.49,-0.59,-0.13,9.57,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.26,19.28,-0.61,-0.12,9.58,0.0,-3.62,-0.75,20.7368,-103.4545,A
8.27,19.41,-0.62,-0.14,9.56,0.0,-11.62,-0.75,0.0,0.0,A
8.14,19.54,-0.59,-0.13,9.57,0.0,-3.62,-0.75,0.0,0.0,A
8.18,19.33,-0.63,-0.13,9.56,0.0,-11.62,-0.75,0.0,0.0,A
8.19,19.45,-0.61,-0.13,9.57,0.0,-11.62,-0.75,20.7368,-103.4544,A
8.27,19.41,-0.58,-0.13,9.61,0.0,-3.62,-0.75,20.7368,-103.4544,A
8.26,19.3,-0.59,-0.12,9.54,0.0,-3.62,-0.75,20.7368,-103.4544,A
8.17,19.38,-0.61,-0.13,9.55,0.0,-3.62,-0.75,20.7368,-103.4544,A
8.24,19.5,-0.63,-0.14,9.57,0.0,-11.62,-0.75,20.7368,-103.4544,A
8.24,19.33,-0.6,-0.12,9.57,0.0,-11.62,-0.75,20.7368,-103.4544,A
8.24,19.41,-0.61,-0.11,9.56,0.0,-3.62,-0.75,20.7368,-103.4544,A
8.19,19.5,-0.62,-0.13,9.58,0.0,-3.62,-0.75,20.7368,-103.4544,A
8.27,19.33,-0.61,-0.13,9.58,0.0,-11.62,-0.75,20.7368,-103.4544,A
8.24,19.44,-0.6,-0.12,9.57,0.0,-11.62,-0.75,20.7368,-103.4544,X
8.22,19.5,-0.6,-0.13,9.56,0.0,-3.62,-0.75,20.7368,-103.4544,X
8.3,19.33,-0.6,-0.12,9.57,0.0,-3.62,-0.75,20.7368,-103.4544,X
8.29,19.45,-0.59,-0.13,9.6,0.0,-11.62,-0.75,20.7368,-103.4544,X
8.22,19.45,-0.6,-0.12,9.54,0.0,-3.62,-0.75,20.7368,-103.4544,X
8.28,19.35,-0.62,-0.13,9.58,0.0,-3.62,-0.75,20.7369,0.9475,A
8.23,19.49,-0.58,-0.13,9.57,0.0,-3.62,-0.75,20.7369,0.9475,A
8.21,19.56,-0.61,-0.13,9.58,0.0,-3.62,-0.75,20.7369,0.9475,A
8.25,19.31,-0.6,-0.11,9.56,0.0,-3.62,-0.75,20.7369,0.9475,A
8.3,19.45,-0.63,-0.13,9.6,0.0,-3.62,-0.75,20.7369,0.9475,A
8.24,19.54,-0.6,-0.12,9.59,0.0,-3.62,-0.75,0.0,20.737,A
8.18,19.3,-0.59,-0.12,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.25,19.46,-0.61,-0.14,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.17,19.54,-0.61,-0.12,9.58,0.0,-11.62,-0.75,0.0,20.737,A
8.23,19.31,-0.63,-0.1,9.59,0.0,-3.62,-0.75,0.0,20.737,A
8.18,19.38,-0.61,-0.12,9.59,0.0,-3.62,-0.75,0.0,20.737,A
8.19,19.59,-0.6,-0.13,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.25,19.34,-0.59,-0.13,9.58,0.0,-11.62,-0.75,0.0,20.737,A
8.17,19.48,-0.62,-0.14,9.59,0.0,-11.62,-0.75,0.0,20.737,A
8.21,19.5,-0.63,-0.14,9.59,0.0,-3.62,-0.75,0.0,20.737,X
8.23,19.35,-0.64,-0.13,9.56,0.0,-3.62,-0.75,0.0,20.737,X
8.22,19.44,-0.61,-0.13,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.18,19.5,-0.6,-0.11,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.26,19.34,-0.59,-0.14,9.58,0.0,-11.62,-0.75,0.0,20.737,X
8.25,19.45,-0.61,-0.12,9.54,0.0,-3.62,-0.75,0.0,20.737,X
8.11,19.57,-0.6,-0.14,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.27,19.39,-0.58,-0.13,9.56,0.0,-3.62,-0.75,0.0,20.737,X
8.27,19.45,-0.59,-0.13,9.57,0.0,-11.62,-0.75,0.0,20.737,X
8.24,19.39,-0.61,-0.12,9.59,0.0,-3.62,-0.75,0.0,20.737,X
8.25,19.34,-0.59,-0.11,9.55,0.0,-3.62,-0.75,0.0,20.737,X
8.25,19.46,-0.62,-0.13,9.56,0.0,-3.62,-0.75,0.0,20.737,X
8.27,19.42,-0.6,-0.11,9.6,0.0,-3.62,-0.75,0.0,20.737,X
8.2,19.33,-0.61,-0.14,9.58,0.0,-11.62,-0.75,0.0,20.737,X
8.25,19.45,-0.59,-0.13,9.56,0.0,-11.62,-0.75,0.0,20.737,A
8.2,19.53,-0.6,-0.12,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.2,19.31,-0.6,-0.12,9.55,0.0,-3.62,-0.75,0.0,20.737,A
8.22,19.44,-0.59,-0.14,9.57,0.0,-3.62,-0.75,0.0,20.737,A
8.15,19.52,-0.61,-0.12,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.25,19.37,-0.62,-0.13,9.6,0.0,-3.62,-0.75,0.0,20.737,A
8.23,19.46,-0.6,-0.14,9.58,0.0,-3.62,-0.75,0.0,20.737,A
8.19,19.53,-0.59,-0.13,9.54,0.0,-11.62,-0.75,0.0,20.737,A
8.24,19.34,-0.62,-0.12,9.57,0.0,-3.62,-0.75,0.0,20.737,X
8.2,19.46,-0.59,-0.12,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.18,19.54,-0.64,-0.11,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.24,19.37,-0.6,-0.11,9.6,0.0,-3.62,-0.75,0.0,20.737,X
8.26,19.52,-0.61,-0.1,9.58,0.0,-11.62,-0.75,0.0,20.737,X
8.17,19.53,-0.6,-0.14,9.56,0.0,-3.62,-0.75,0.0,20.737,X
8.27,19.34,-0.6,-0.12,9.57,0.0,-3.62,-0.75,0.0,20.737,X
8.25,19.44,-0.6,-0.11,9.59,0.0,-3.62,-0.75,0.0,20.737,X
8.16,19.53,-0.6,-0.12,9.56,0.0,-3.62,-0.75,0.0,20.737,X
8.23,19.3,-0.59,-0.11,9.58,0.0,-3.62,-0.75,0.0,20.737,X
8.22,19.48,-0.61,-0.13,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.29,19.45,-0.6,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.26,19.31,-0.6,-0.13,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.45,-0.61,-0.13,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.24,19.54,-0.6,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.24,19.34,-0.59,-0.12,9.55,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.42,-0.62,-0.11,9.58,0.0,-11.62,-0.75,20.737,-103.4547,A
8.17,19.54,-0.62,-0.12,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.29,19.37,-0.62,-0.11,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.26,19.46,-0.6,-0.12,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.2,19.53,-0.6,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.29,19.35,-0.62,-0.13,9.54,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.45,-0.6,-0.12,9.55,0.0,-3.62,-0.75,20.737,-103.4547,A
8.24,19.5,-0.61,-0.13,9.59,0.0,-11.62,-0.75,20.737,-103.4547,A
8.3,19.33,-0.59,-0.13,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.48,-0.6,-0.12,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.23,19.48,-0.58,-0.12,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.34,-0.61,-0.12,9.57,0.0,-11.62,-0.75,20.737,-103.4547,A
8.27,19.45,-0.61,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.23,19.52,-0.63,-0.12,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.27,19.3,-0.61,-0.12,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.29,19.44,-0.64,-0.13,9.58,0.0,-11.62,-0.75,20.737,-103.4547,A
8.23,19.59,-0.6,-0.12,9.6,0.0,-11.62,-0.75,20.737,-103.4547,A
8.26,19.34,-0.59,-0.12,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.44,-0.6,-0.12,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.26,19.56,-0.58,-0.14,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.3,-0.61,-0.14,9.58,0.0,-11.62,-0.75,20.737,-103.4547,A
8.2,19.41,-0.62,-0.12,9.59,0.0,-11.62,-0.75,20.737,-103.4547,A
8.25,19.48,-0.61,-0.14,9.52,0.0,-3.62,-0.75,20.737,-103.4547,A
8.27,19.35,-0.6,-0.11,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.44,-0.6,-0.13,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.54,-0.61,-0.13,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.3,19.31,-0.6,-0.14,9.54,0.0,-11.62,-0.75,20.737,-103.4547,A
8.25,19.39,-0.61,-0.14,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.17,19.52,-0.62,-0.12,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.3,19.35,-0.6,-0.13,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.29,19.48,-0.61,-0.12,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.22,19.5,-0.62,-0.13,9.57,0.0,-11.62,-0.75,20.737,-103.4547,A
8.28,19.33,-0.62,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.24,19.48,-0.57,-0.12,9.55,0.0,-3.62,-0.75,20.737,-103.4547,A
8.24,19.53,-0.62,-0.13,9.56,0.0,-3.62,-0.75,20.737,-103.4547,A
8.19,19.35,-0.62,-0.12,9.57,0.0,-3.62,-0.75,20.737,-103.4547,A
8.28,19.46,-0.62,-0.11,9.53,0.0,-3.62,-0.75,20.737,-103.4547,A
8.25,19.57,-0.6,-0.14,9.61,0.0,-3.62,-0.75,20.737,-103.4547,A
8.23,19.37,-0.62,-0.13,9.57,0.0,-11.62,-0.75,20.737,-103.4547,A
8.27,19.42,-0.59,-0.14,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.21,19.54,-0.63,-0.13,9.58,0.0,-3.62,-0.75,20.737,-103.4547,A
8.27,19.34,-0.61,-0.13,9.59,0.0,-3.62,-0.75,20.737,-103.4547,A
8.27,19.44,-0.6,-0.13,9.56,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.24,19.52,-0.59,-0.16,9.58,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.28,19.39,-0.6,-0.12,9.58,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.15,19.37,-0.6,-0.13,9.57,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.24,19.54,-0.57,-0.13,9.58,0.0,-3.62,-0.75,20.7369,-103.4548,A
8.29,19.34,-0.59,-0.12,9.57,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.23,19.45,-0.59,-0.13,9.56,0.0,-11.62,-0.75,20.7369,-103.4548,A
8.2,19.45,-0.6,-0.15,9.56,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.22,19.31,-0.61,-0.12,9.56,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.29,19.49,-0.59,-0.13,9.58,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.16,19.52,-0.63,-0.14,9.55,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.28,19.35,-0.62,-0.14,9.57,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.3,19.46,-0.57,-0.14,9.57,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.23,19.52,-0.6,-0.14,9.59,0.0,-11.62,-0.75,20.7369,-103.4547,A
8.25,19.33,-0.6,-0.13,9.54,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.27,19.44,-0.62,-0.12,9.6,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.25,19.56,-0.62,-0.12,9.56,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.27,19.3,-0.62,-0.13,9.55,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.29,19.46,-0.59,-0.12,9.56,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.21,19.53,-0.6,-0.14,9.57,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.22,19.27,-0.61,-0.13,9.58,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.25,19.42,-0.61,-0.12,9.58,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.23,19.54,-0.58,-0.12,9.57,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.31,19.38,-0.6,-0.11,9.57,0.0,-11.62,-0.75,20.7369,-103.4547,A
8.27,19.45,-0.62,-0.12,9.59,0.0,-11.62,-0.75,20.7369,-103.4547,A
8.26,19.52,-0.62,-0.12,9.58,0.0,-3.62,-0.75,20.7369,-103.4547,A
8.31,19.35,-0.6,-0.14,9.59,0.0,-3.62,-0.75,20.7369,103.4547,A
8.19,19.44,-0.61,-0.14,9.57,0.0,-11.62,-0.75,20.7369,103.4547,A
